submission_id,Condition,Index,ItemId,PageId,Stimulus,SubjectId,Word,device,experiment_duration,experiment_end_time,experiment_start_time,hand,mousePositionX,mousePositionY,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,wordPositionBottom,wordPositionLeft,wordPositionRight,wordPositionTop,wordRevealPart
71,,0-95,17,3,3,,休,,,,,,1011,222,,,,认为公司不会批准,18581,223.265625,1003.375,1021.375,203.265625,f
71,,0-95,17,3,3,,休,,,,,,1016,222,,,,认为公司不会批准,18632,223.265625,1003.375,1021.375,203.265625,f
71,,0-95,17,3,3,,休,,,,,,1018,222,,,,认为公司不会批准,18681,223.265625,1003.375,1021.375,203.265625,f
71,,0-96,17,3,3,,假,,,,,,1021,222,,,,认为公司不会批准,18728,223.265625,1021.375,1039.375,203.265625,f
71,,0-96,17,3,3,,假,,,,,,1024,222,,,,认为公司不会批准,18780,223.265625,1021.375,1039.375,203.265625,f
71,,0-96,17,3,3,,假,,,,,,1028,222,,,,认为公司不会批准,18831,223.265625,1021.375,1039.375,203.265625,f
71,,0-96,17,3,3,,假,,,,,,1036,221,,,,认为公司不会批准,18881,223.265625,1021.375,1039.375,203.265625,f
71,,0-97,17,3,3,,2,,,,,,1041,220,,,,认为公司不会批准,18932,223.265625,1039.375,1049.390625,203.265625,f
71,,0-97,17,3,3,,2,,,,,,1043,220,,,,认为公司不会批准,18981,223.265625,1039.375,1049.390625,203.265625,f
71,,0-98,17,3,3,,0,,,,,,1052,219,,,,认为公司不会批准,19029,223.265625,1049.390625,1059.40625,203.265625,f
71,,0-98,17,3,3,,0,,,,,,1056,219,,,,认为公司不会批准,19082,223.265625,1049.390625,1059.40625,203.265625,f
71,,0-99,17,3,3,,天,,,,,,1059,219,,,,认为公司不会批准,19132,223.265625,1059.40625,1077.40625,203.265625,f
71,,0-99,17,3,3,,天,,,,,,1062,219,,,,认为公司不会批准,19179,223.265625,1059.40625,1077.40625,203.265625,f
71,,0-99,17,3,3,,天,,,,,,1068,219,,,,认为公司不会批准,19230,223.265625,1059.40625,1077.40625,203.265625,f
71,,0-99,17,3,3,,天,,,,,,1071,219,,,,认为公司不会批准,19280,223.265625,1059.40625,1077.40625,203.265625,f
71,,0-99,17,3,3,,天,,,,,,1076,219,,,,认为公司不会批准,19331,223.265625,1059.40625,1077.40625,203.265625,f
71,,0-100,17,3,3,,，,,,,,,1088,220,,,,认为公司不会批准,19383,223.265625,1077.40625,1095.40625,203.265625,f
71,,0-100,17,3,3,,，,,,,,,1092,220,,,,认为公司不会批准,19432,223.265625,1077.40625,1095.40625,203.265625,f
71,,0-101,17,3,3,,法,,,,,,1102,220,,,,认为公司不会批准,19480,223.265625,1095.40625,1113.40625,203.265625,f
71,,0-101,17,3,3,,法,,,,,,1105,220,,,,认为公司不会批准,19533,223.265625,1095.40625,1113.40625,203.265625,f
71,,0-101,17,3,3,,法,,,,,,1109,220,,,,认为公司不会批准,19581,223.265625,1095.40625,1113.40625,203.265625,f
71,,0-101,17,3,3,,法,,,,,,1110,220,,,,认为公司不会批准,19635,223.265625,1095.40625,1113.40625,203.265625,f
71,,0-101,17,3,3,,法,,,,,,1111,220,,,,认为公司不会批准,19684,223.265625,1095.40625,1113.40625,203.265625,f
71,,0-101,17,3,3,,法,,,,,,1112,220,,,,认为公司不会批准,19731,223.265625,1095.40625,1113.40625,203.265625,f
71,,0-102,17,3,3,,国,,,,,,1113,220,,,,认为公司不会批准,19778,223.265625,1113.40625,1131.40625,203.265625,f
71,,0-102,17,3,3,,国,,,,,,1113,220,,,,认为公司不会批准,19843,223.265625,1113.40625,1131.40625,203.265625,f
71,,0-102,17,3,3,,国,,,,,,1116,220,,,,认为公司不会批准,19883,223.265625,1113.40625,1131.40625,203.265625,f
71,,0-102,17,3,3,,国,,,,,,1122,220,,,,认为公司不会批准,19933,223.265625,1113.40625,1131.40625,203.265625,f
71,,0-102,17,3,3,,国,,,,,,1128,221,,,,认为公司不会批准,19982,223.265625,1113.40625,1131.40625,203.265625,f
71,,0-102,17,3,3,,国,,,,,,1130,222,,,,认为公司不会批准,20029,223.265625,1113.40625,1131.40625,203.265625,f
71,,0-103,17,3,3,,则,,,,,,1138,224,,,,认为公司不会批准,20082,223.265625,1131.40625,1149.40625,203.265625,f
71,,0-103,17,3,3,,则,,,,,,1148,225,,,,认为公司不会批准,20132,223.265625,1131.40625,1149.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1149,225,,,,认为公司不会批准,20185,223.265625,1149.40625,1167.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1152,225,,,,认为公司不会批准,20232,223.265625,1149.40625,1167.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1153,225,,,,认为公司不会批准,20279,223.265625,1149.40625,1167.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1154,225,,,,认为公司不会批准,20330,223.265625,1149.40625,1167.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1158,224,,,,认为公司不会批准,20383,223.265625,1149.40625,1167.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1162,222,,,,认为公司不会批准,20433,223.265625,1149.40625,1167.40625,203.265625,f
71,,0-104,17,3,3,,高,,,,,,1165,221,,,,认为公司不会批准,20481,223.265625,1149.40625,1167.40625,203.265625,f
